[INFO] [1765966444.676044961] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.706088209] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.735880613] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.765843754] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.795970691] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.825906809] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.855914944] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.886065322] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.916051551] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.946078298] [camera_person_publisher]: Published 1 people
[INFO] [1765966444.976356304] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.006272228] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.036033811] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.065896642] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.095900982] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.126165572] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.155885549] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.186098301] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.216124355] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.246552809] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.275928558] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.306418860] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.336321442] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.365968186] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.395985158] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.426207823] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.455925018] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.491410986] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.515942525] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.546030076] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.575720952] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.605892865] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.635700850] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.665848427] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.695842598] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.725695483] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.755690101] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.785702340] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.815652123] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.845760717] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.876210086] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.906244615] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.935725416] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.965728541] [camera_person_publisher]: Published 1 people
[INFO] [1765966445.995772632] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.025827881] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.055735803] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.085763714] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.115768343] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.145965109] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.175810541] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.206370954] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.235872695] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.265736612] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.295812173] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.325816099] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.356033972] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.386228755] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.416086692] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.446189500] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.476022268] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.506183057] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.536236296] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.565791124] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.595804548] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.625936650] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.655846362] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.685923619] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.716163238] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.746052579] [camera_person_publisher]: Published 1 people
[INFO] [1765966446.775970766] [camera_person_publisher]: Published 1 people
